name,release_date,price,genres,tags,review_count,review_score_text,review_score,platforms,developers,publishers,category_price,release_year
LOST EPIC,2022-07-27,160000.0,"['Action', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing', 'Action', 'Indie', 'RPG']",1018,Very Positive,7,"['windows', 'mac', 'linux']","['oneoreight', 'Team EARTHWARS']",['oneoreight'],Paid,2022
Witchy Life Story,2022-09-30,165999.0,"['Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing', 'Indie', 'Simulation']",777,Very Positive,7,"['windows', 'mac', 'linux']",['Sundew Studios'],['Sundew Studios'],Paid,2022
Magia X,2021-02-25,108999.0,['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing', 'Action']",261,Mixed,4,"['windows', 'mac', 'linux']","['Superacid', 'Manlev Games']",['Superacid'],Paid,2021
Paradise Lust,2023-05-23,95999.0,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Indie']",517,Very Positive,7,"['windows', 'mac', 'linux']",['Flexible Media'],['Flexible Media'],Paid,2023
Blaston,2020-12-15,0.0,"['Action', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Tracked Controller Support', 'VR Only', 'Action', 'Indie', 'Strategy']",281,Very Positive,7,"['windows', 'mac', 'linux']",['Resolution Games'],['Resolution Games'],Free,2020
Phoenotopia Awakening,2021-01-21,135999.0,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Family Sharing', 'Action', 'Adventure', 'Indie', 'RPG']",2311,Very Positive,7,"['windows', 'mac', 'linux']",['Cape Cosmic'],"['Cape Cosmic', 'Flyhigh Works']",Paid,2021
Holiday Time,2020-11-20,8499.0,['Casual'],"['Single-player', 'Family Sharing', 'Casual']",147,Mixed,4,"['windows', 'mac', 'linux']",['Eternal Lighthouse'],['Eternal Lighthouse'],Paid,2020
Gachi run: Running of the slaves,2020-11-06,8499.0,"['Action', 'Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Family Sharing', 'Action', 'Adventure', 'Casual', 'Indie']",186,Positive,6,"['windows', 'mac', 'linux']",['Slaves'],['Wolfi'],Paid,2020
Trine 5: A Clockwork Conspiracy,2023-08-31,245999.0,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing', 'Action', 'Adventure', 'Indie', 'RPG']",1888,Very Positive,7,"['windows', 'mac', 'linux']",['Frozenbyte'],['THQ Nordic'],Paid,2023
The Door in the Basement,2021-04-21,99999.0,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Indie']",152,Very Positive,7,"['windows', 'mac', 'linux']",['Aegon Games'],['Aegon Games'],Paid,2021
Tandem: a tale of shadows,2021-10-20,90999.0,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing', 'Action', 'Adventure', 'Indie']",134,Mostly Positive,5,"['windows', 'mac', 'linux']",['Monochrome Paris'],['Hatinh Interactive'],Paid,2021
Feign,2021-10-23,47499.0,"['Casual', 'RPG', 'Strategy', 'Early Access']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Family Sharing', 'Casual', 'RPG', 'Strategy', 'Early Access']",4087,Very Positive,7,"['windows', 'mac', 'linux']",['Teneke Kafalar'],['Teneke Kafalar'],Paid,2021
EBOLA 2,2021-01-06,130999.0,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing', 'Action', 'Adventure', 'Indie']",209,Mostly Positive,5,"['windows', 'mac', 'linux']",['indie_games_studio'],['indie_games_studio'],Paid,2021
My Name is Mayo 2,2020-11-17,8499.0,['Simulation'],"['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Family Sharing', 'Simulation']",375,Very Positive,7,"['windows', 'mac', 'linux']",['Green Lava Studios'],['Green Lava Studios'],Paid,2020
