publisher,count
VINE,1
Bevel Studios,1
Deimos Games,1
Brandon Moore,1
Circle Five Publishing,1
erm...	,1
GameNet,1
U7 committee,1
Real Welders,1
Cliffhanger Productions ,1
Wishlist Games,1
Colorfiction,1
Snowrunner Games,1
Darkcross Games,1
Smoodlez,1
rdein,1
Big Kitty Games,1
Cheritz,1
B52 Development Team,1
Big Way Games,1
"BitFinity, Sunken Treasure Games",1
"Rockwell Studios, LLC",1
Game River,1
Progorion,1
SoftWeir Inc.,1
Chris McFarland,1
Pixellore Inc,1
TREON Games,1
Studio TeamShuriken,1
Ginormocorp Holdings Ltd,1
Gamily Studios,1
Odd Meter,1
Estúdio Vaca Roxa,1
LTG,1
Halfbus,1
Konfa Games,1
GuraShop,1
Pathos Interactive,1
Oasis Games,1
Attu Games,1
Random Seed Games,1
Nicolas Pierre-Loti-Viaud,1
Cheese Games,1
Horus Games,1
Walk Thru Walls Studios,1
Pleasant Rain Ltd,1
SD,1
Sad Horse studio,1
4Bit Games,1
Outerdawn,1
Targem Games,1
Tea & Cake Games,1
Picklefeet Games,1
Jake Huhman,1
gamigo US Inc.,1
"Bat Country Games, LLC",1
Hammer Glass Studio Inc.,1
Monkey Stories,1
Matt Roszak,1
ZOOM Platform Media,1
kChamp Games,1
RaveyLarge,1
Autumn Moon Entertainment,1
GameTrust Games,1
Mascot Entertainment,1
Retrific,1
Miyagi Games,1
Downpour Interactive,1
CP Decision,1
Pavel Jamal,1
Crystice Softworks,1
Noetic,1
Osmotic Studios,1
Clockwork Wolf,1
Fenix Fire Entertainment,1
Pewter Games Studios,1
Modern Wolf,1
Nova Dimension,1
Unusualsoft,1
Campfire Games,1
John Wizard,1
Evoluta Studio,1
Axel Sonic,1
AeroSoft GmbH,1
3Division,1
Ductape studio,1
The Game Bakers,1
D6,1
Sorath,1
ConcernedApe,1
Teotl Studios,1
Bitbox Ltd.,1
Qumaron,1
Addicting Games,1
Aleksandr Golovkin,1
Cartboard Games,1
Lasso Games,1
"Defy Media, LLC",1
Because I Can,1
"COLOPL, Inc.",1
Illeris,1
Avanquest Software Publishing Ltd,1
Scraping Bottom Games,1
Meerkat Gaming,1
ShadowBrain Games,1
Brain&Brain,1
Kajak Games,1
Bluebutton Games,1
Schmidt Workshops,1
ORiGO GAMES,1
On The Level Game Studios,1
Lazy Monday Ltd,1
Robert Weaver,1
SideFX,1
Kiddy,1
Kool2Play,1
Misc Games,1
FrameLineNetwork,1
Quixel,1
ImageCode,1
DuCats Games Studio,1
Activision Value Inc.,1
BigCheeseGames,1
HFM Games,1
Zenz VR,1
Balcony Softworks,1
Dan  Walters,1
"Oddworld Inhabitants, Inc.",1
Rake in Grass,1
Ninja Robot Dinosaur,1
Mikori Games,1
Arif Games,1
Outsider Games,1
Moltenplay,1
Caravel Games,1
100 Stones Interactive,1
Defiant Development,1
[OneManBand],1
Driven Arts,1
gnifrebel Games UG,1
Pirate Software,1
Armitage Games,1
Quantized Bit,1
Excalibur Games,1
Contingent99,1
Hearthfire Studios,1
Initiative Media,1
Boxelware,1
Profenix Studio SRLS,1
NEW AUDIO TECHNOLOGY,1
Grove Street Games,1
Magic Pixel Kft.,1
Dan_D,1
Evil Indie Games,1
Bitlock Studio,1
Butterflyware,1
Dreadlocks Ltd.,1
Silicon Jelly,1
Dreadlocks Mobile,1
Jonathan BRASSAUD,1
Winged Pixel Inc.,1
  Milestone S.r.l.,1
WOLCEN Studio,1
World Makers,1
Bromoco Games,1
Christian Reuter,1
Skatanic Studios,1
Elliptic Games,1
SONNORI Corp,1
Real Game Machine,1
Cosmographic Software,1
AceGamer Network,1
Mad Head Games ,1
IPACS,1
StormBringer Studios OU,1
JE Software,1
Indie Game Group,1
DeXP,1
J..Bowman,1
Grunge Games LTD,1
Pictopotamus,1
Faton,1
Demimonde,1
Maverick Games,1
Sinclair Strange,1
V3663L,1
Lichthund,1
Steven Colling,1
Pavel Zinchenko,1
Thylacine Studios LLC,1
REL Games,1
Adriaan de Jongh,1
Mechabit Ltd,1
IllusoryWorldEntertainment,1
Mercury Steam Entertainment s.l.,1
Code Horizon,1
Devespresso Games,1
Tuttifrutti Interactive,1
James Id,1
Sketchy Logic,1
Morteshka,1
Lucas Molina,1
Gaddy Games,1
Peach Pie Productions,1
Bandai Namco,1
Team HalfBeard,1
Stolen Couch Games,1
Atypical Games,1
 RandomSpin,1
Reconnect Software,1
Casioqu,1
Touwaku Studio,1
KomBits Game Studio,1
Smartly Dressed Games,1
Immortal Hand Studios,1
All Yes Good,1
Aggroblakh,1
Footprints Games,1
Pixel Federation,1
Sean O'Connor,1
GexagonVR,1
314 Arts,1
Sólfar Studios,1
Ionized Games,1
CORPTRON GAMES CORP.,1
Silver Moon Internet,1
银月网络,1
Buddy Productions GmbH,1
BulatHard,1
Neokosmos Technologies Ltd.,1
Terrible Posture Games,1
Tungsten Games,1
Iced Lizard Games,1
Kyuppin,1
Bigzur Games,1
Pixel Hero Games,1
Daniele Ferraro,1
Playdead,1
nDreams,1
Cuddle Monster Games,1
Formslingers,1
Mommy's Best Games,1
8D Studio,1
The Voxel Agents,1
b-alive gmbh,1
Elven Workshop,1
Baggy Cat Ltd.,1
Hello There Games,1
Phoenix Interactive Studio,1
Jason Rohrer,1
Binary Fortress Software,1
Wolfiesoft,1
Mudpike,1
BisquitPlay,1
PT.farm Inc.,1
Denys Rudyi,1
studiocime,1
Panic,1
Washbear Studio,1
Systemic Games,1
N3V Games,1
Budget Friendly Entertainment,1
Campo Santo,1
Aether Studios,1
Tolga Ay,1
Triangle Studios,1
BlueLine Games,1
Bit Dragon,1
Quantic Dream,1
NetEase Games,1
1939 Games,1
Beam Team Publishing,1
Shark Punch,1
SEEP,1
Pera Games,1
LOVIGAME,1
Robot Invader,1
ULTRA ULTRA,1
Warballoon,1
Lemondo Entertainment,1
Bread Machine Games,1
"Impulse Game Studios, LLC.",1
Gravity Sketch Limited,1
IBOL,1
David OReilly,1
RocketWerkz,1
All Seeing Eye Games,1
Bigosaur,1
Ondrej Angelovic,1
Tabletopia,1
Roman Uhlig,1
Magnolia Art,1
